experiment,k,depth,run,witness_s,prove_s,verify_s,total_prover_s,status
merkle_depth,10,2,1,0.12106900099999507,3.5673278059999802,0.650406978999996,3.6883968069999753,success
merkle_depth,10,2,2,0.12848141399999236,3.5955642670000145,0.6635965030000079,3.724045681000007,success
merkle_depth,10,2,3,0.1335476950000043,3.616898464000002,0.6419606369999826,3.750446159000006,success
merkle_depth,10,2,4,0.13497783599999025,3.588871707999999,0.6666041340000106,3.7238495439999895,success
merkle_depth,10,2,5,0.12721838499999194,3.607442753999976,0.6446931170000028,3.734661138999968,success
merkle_depth,10,2,6,0.13356557899999189,3.565728452000002,0.6413336760000163,3.6992940309999938,success
merkle_depth,10,2,7,0.12862479200001076,3.5504738169999825,0.6469254690000241,3.6790986089999933,success
merkle_depth,10,2,8,0.126108945999988,3.5631142469999872,0.6341113299999961,3.6892231929999753,success
merkle_depth,10,2,9,0.13374348400000713,3.638806117999991,0.6359865159999742,3.772549601999998,success
merkle_depth,10,2,10,0.1304684079999845,3.7920747490000224,0.8693817209999963,3.922543157000007,success
merkle_depth,10,2,11,0.17401753400000075,4.282469489999983,0.7102720299999987,4.456487023999983,success
merkle_depth,10,2,12,0.1432528439999885,4.242601856000022,0.7275865789999898,4.38585470000001,success
merkle_depth,10,2,13,0.1566845629999989,4.233509451000003,0.6853697390000093,4.390194014000002,success
merkle_depth,10,2,14,0.12910568999998873,3.552756348999992,0.6291568729999995,3.6818620389999808,success
merkle_depth,10,2,15,0.12397599999999898,3.6456916280000087,0.6498198320000199,3.7696676280000077,success
merkle_depth,10,2,16,0.12763857999999573,3.5937590510000064,0.6305096650000053,3.721397631000002,success
merkle_depth,10,2,17,0.13275982900000827,3.602276398999976,0.6362118170000031,3.7350362279999842,success
merkle_depth,10,2,18,0.12464752500000031,3.5440781300000026,0.645834409999992,3.668725655000003,success
merkle_depth,10,2,19,0.12085405299998797,3.5815703370000165,0.6417925289999857,3.7024243900000045,success
merkle_depth,10,2,20,0.1290926069999898,3.628794290000002,0.6482156810000106,3.7578868969999917,success
merkle_depth,10,2,21,0.12908960499999012,3.570119157999983,0.6374498029999813,3.699208762999973,success
merkle_depth,10,2,22,0.12525337200000308,3.6137532920000126,0.6391092519999688,3.7390066640000157,success
merkle_depth,10,2,23,0.13402582200001234,3.603978041000005,0.6398217020000061,3.738003863000017,success
merkle_depth,10,2,24,0.12628085699998337,3.545982734000006,0.6440418220000197,3.6722635909999894,success
merkle_depth,10,2,25,0.12317583599997306,3.582166468999958,0.6472128469999916,3.705342304999931,success
merkle_depth,10,2,26,0.13075053900001876,3.5571824579999998,0.6487874630000192,3.6879329970000185,success
merkle_depth,10,2,27,0.12491621300000588,3.5757812979999812,0.6532275289999916,3.700697510999987,success
merkle_depth,10,2,28,0.13010484000000133,3.6058085129999995,0.6381528960000082,3.735913353000001,success
merkle_depth,10,2,29,0.13295413299999836,3.5695940520000136,0.6288260040000182,3.702548185000012,success
merkle_depth,10,2,30,0.13186371900002314,3.5456939280000483,0.6493905919999747,3.6775576470000715,success
merkle_depth,10,4,1,0.1419017410000265,3.7499600559999635,0.6500246190000212,3.89186179699999,success
merkle_depth,10,4,2,0.13296022100001892,3.6405190929999662,0.653789583000048,3.773479313999985,success
merkle_depth,10,4,3,0.12571720500000083,3.6737480950000077,0.6385386040000185,3.7994653000000085,success
merkle_depth,10,4,4,0.1297990590000495,3.6384019810000154,0.639691809999988,3.768201040000065,success
merkle_depth,10,4,5,0.12484880799996745,3.692122640999969,0.6480801270000143,3.8169714489999365,success
merkle_depth,10,4,6,0.13476034799998615,3.719177540999965,0.6413307130000021,3.853937888999951,success
merkle_depth,10,4,7,0.1341696150000189,3.6409598500000016,0.6444374270000139,3.7751294650000204,success
merkle_depth,10,4,8,0.13962491799998134,3.6657022640000037,0.6704380470000046,3.805327181999985,success
merkle_depth,10,4,9,0.13709917699998186,3.672197230999984,0.6426456199999961,3.809296407999966,success
merkle_depth,10,4,10,0.13569494899996926,3.6575366559999907,0.6328428019999706,3.79323160499996,success
merkle_depth,10,4,11,0.12494452800001454,3.6554457849999835,0.6451233539999635,3.780390312999998,success
merkle_depth,10,4,12,0.1298296040000082,3.6650665359999834,0.6262269930000457,3.7948961399999916,success
merkle_depth,10,4,13,0.1407614749999766,3.6836168049999856,0.6362119500000176,3.824378279999962,success
merkle_depth,10,4,14,0.1259574990000374,3.7442862030000015,0.6605332750000343,3.870243702000039,success
merkle_depth,10,4,15,0.12852550699994936,3.6754135110000448,0.6427092170000037,3.803939017999994,success
merkle_depth,10,4,16,0.12945113600000013,3.694578149999984,0.663728730999992,3.824029285999984,success
merkle_depth,10,4,17,0.12879214100001946,3.6728095160000294,0.6486169140000015,3.801601657000049,success
merkle_depth,10,4,18,0.1357248080000204,3.6505360950000068,0.6334194369999864,3.786260903000027,success
merkle_depth,10,4,19,0.13166617299998506,3.6707735019999745,0.6408012609999787,3.8024396749999596,success
merkle_depth,10,4,20,0.14327315299999555,3.6755079800000203,0.6412519699999848,3.818781133000016,success
merkle_depth,10,4,21,0.13820940900001233,3.667407308999998,0.6467795710000246,3.8056167180000102,success
merkle_depth,10,4,22,0.1311001239999996,3.6431713400000376,0.6289057500000013,3.774271464000037,success
merkle_depth,10,4,23,0.1320700090000173,3.661292143999958,0.642717819999973,3.7933621529999755,success
merkle_depth,10,4,24,0.13698134000003392,3.635626454999965,0.6399169450000386,3.772607794999999,success
merkle_depth,10,4,25,0.12551803899998504,3.6027311660000123,0.6293897969999875,3.7282492049999973,success
merkle_depth,10,4,26,0.12477158100000452,3.6334703400000308,0.6367275989999825,3.7582419210000353,success
