run,plaintext_s,witness_s,prove_s,verify_s,zk_prover_s,zk_end_to_end_s,prover_overhead_factor,end_to_end_overhead_factor
1,2.4444165399995656e-06,0.12688989200000833,3.561357365000049,0.6257962189999944,3.6882472570000573,4.314043476000052,1508845.6474773784,1764856.1140896298
2,2.4272898000003806e-06,0.12289107399988097,3.5652089529999103,0.6129753889999847,3.6881000269997912,4.301075415999776,1519431.2714531296,1771966.1723124702
3,2.4858375600001638e-06,0.12784638800007997,3.550804124000024,0.6283263709999574,3.678650512000104,4.306976883000061,1479843.482612702,1732605.9241778362
4,2.475675250000222e-06,0.1383293460000914,3.5628281770000285,0.625402283999847,3.70115752300012,4.326559806999967,1495009.3001898322,1747628.1701324028
5,2.4287597799980177e-06,0.1222732050000559,3.5763791659999242,0.63146593700003,3.69865237099998,4.33011830800001,1522856.3983396492,1782851.619851653
6,2.4270024199995533e-06,0.1329921269998522,3.589778511999839,0.6332709849998537,3.722770638999691,4.356041623999545,1533896.5500497425,1794823.7661832848
7,2.4694930399982695e-06,0.1318474330000754,3.5526266690001194,0.649287854000022,3.6844741020001948,4.333761956000217,1491996.1475181063,1754919.6882949115
8,2.4536076399999728e-06,0.12899912100010624,3.5802318549999654,0.6300189950000004,3.7092309760000717,4.339249971000072,1511745.7720339152,1768518.2831433148
9,2.5922730799993587e-06,0.13415264599984766,3.567903625000099,0.6291586769998503,3.7020562709999467,4.331214947999797,1428111.9915810963,1670817.3924333884
10,2.452161270000488e-06,0.12311556899999232,3.5565335660000983,0.6393671109999559,3.6796491350000906,4.3190162460000465,1500573.873348615,1761310.0324348519
11,2.444849380001415e-06,0.12767450599994845,3.5888215269999364,0.6441750349999893,3.716496032999885,4.360671067999874,1520132.9224615605,1783615.4258293617
12,2.425005089999104e-06,0.12666195899987542,3.574745959999973,0.6266681660001723,3.7014079189998483,4.328076085000021,1526350.5772687744,1784769.897122822
13,2.4798338899995543e-06,0.12708205399985673,3.5649039799998263,0.634746997000093,3.691986033999683,4.326733030999776,1488803.7658039855,1744767.2799570272
14,2.439614919999258e-06,0.14209933700021793,3.5683445569998185,0.631992025000045,3.7104438940000364,4.342435919000081,1520913.7571601525,1779967.765978986
15,2.420126280001114e-06,0.1293059350000476,3.564089182999851,0.6273026339999888,3.6933951179998985,4.320697751999887,1526116.6942074604,1785319.1330156121
16,2.443332469999859e-06,0.13765445200010618,3.57124037199992,0.6245085289999679,3.7088948240000263,4.333403352999994,1517965.6757887886,1773562.7083940173
17,2.4540085700004965e-06,0.13119109600006595,3.593775156999982,0.6491454179999891,3.724966253000048,4.374111671000037,1517910.8575807842,1782435.3690008312
18,2.4303301899999495e-06,0.1413360209999155,3.626768367000068,0.6365388159999839,3.7681043879999834,4.404643203999967,1550449.5658674517,1812364.1067883286
19,2.4545602600005625e-06,0.13404769599992505,3.6173369020000337,0.6345292080000036,3.7513845979999587,4.385913805999962,1528332.6545827393,1786842.9948421626
20,2.430267409999942e-06,0.1259570459999395,3.6077239479998298,0.6454281460000857,3.7336809939997693,4.379109139999855,1536325.1708995507,1801904.2357153443
21,2.4616691700020967e-06,0.13051275499992698,3.5621851700000207,0.6415558569999575,3.6926979249999476,4.334253781999905,1500078.8773727878,1760697.105369449
22,2.416347130001668e-06,0.1448505689998001,3.5848747390000426,0.635637122999924,3.7297253079998427,4.365362430999767,1543538.70008622,1806595.7398251605
23,2.4268704899986917e-06,0.12875528300014594,3.5700062789999265,0.633209756000042,3.6987615620000724,4.3319713180001145,1524086.9165630946,1785003.0876606232
24,2.466360910000276e-06,0.12479729500000758,3.578660015999958,0.6470155410002008,3.7034573109999656,4.350472852000166,1501587.7424847572,1763923.858167084
25,2.4437702099999114e-06,0.1376281159998598,3.5909985200000847,0.6538666639999065,3.7286266359999445,4.382493299999851,1525768.10239457,1793332.8109437956
26,2.4154399700000793e-06,0.13611923100006607,3.5669254019999244,0.6353945449998264,3.7030446329999904,4.338439177999817,1533072.516391235,1796127.9236426954
27,2.431624359999205e-06,0.12318597299986322,3.561229533999949,0.6249543159999575,3.6844155069998124,4.30936982299977,1515207.5162633331,1772218.5605186068
28,2.433514770000329e-06,0.1265274639999916,3.5700928590001695,0.6551107660000071,3.696620323000161,4.351731089000168,1519045.772218453,1788249.3020576898
29,2.4636522899982083e-06,0.13392819099999542,3.523184743999991,0.6310617869999078,3.6571129349999865,4.288174721999894,1484427.3884942774,1740576.2734492915
30,2.448750910000399e-06,0.12652189599998565,3.5564865829999235,0.6231296700000257,3.683008478999909,4.306138148999935,1504035.573385171,1758503.9504892856
