sample_id,x_active_quantity,authorized,architecture,direct_x_visible,observable_y
1,18,1,centralized_plaintext,1,"[""[5,15,18,0,0,0,0,0,0,0]"", ""[26,7,99,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
1,18,1,trusted_encrypted_database,1,"[""[5,15,18,0,0,0,0,0,0,0]"", ""[26,7,99,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
1,18,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
2,45,1,centralized_plaintext,1,"[""[10,13,2,18,4,0,0,0,0,0]"", ""[74,78,6,77,82,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
2,45,1,trusted_encrypted_database,1,"[""[10,13,2,18,4,0,0,0,0,0]"", ""[74,78,6,77,82,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
2,45,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
3,10,1,centralized_plaintext,1,"[""[12,10,5,16,0,0,0,0,0,0]"", ""[49,85,48,19,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
3,10,1,trusted_encrypted_database,1,"[""[12,10,5,16,0,0,0,0,0,0]"", ""[49,85,48,19,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
3,10,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
4,40,1,centralized_plaintext,1,"[""[18,9,12,10,1,3,0,0,0,0]"", ""[82,82,39,95,19,78,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
4,40,1,trusted_encrypted_database,1,"[""[18,9,12,10,1,3,0,0,0,0]"", ""[82,82,39,95,19,78,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
4,40,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
5,0,1,centralized_plaintext,1,"[""[16,0,0,0,0,0,0,0,0,0]"", ""[10,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
5,0,1,trusted_encrypted_database,1,"[""[16,0,0,0,0,0,0,0,0,0]"", ""[10,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
5,0,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
6,1,1,centralized_plaintext,1,"[""[4,3,1,13,0,0,0,0,0,0]"", ""[48,2,99,53,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
6,1,1,trusted_encrypted_database,1,"[""[4,3,1,13,0,0,0,0,0,0]"", ""[48,2,99,53,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
6,1,1,zk_snark_hidden_state,0,"[""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
7,0,1,centralized_plaintext,1,"[""[18,0,0,0,0,0,0,0,0,0]"", ""[33,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
7,0,1,trusted_encrypted_database,1,"[""[18,0,0,0,0,0,0,0,0,0]"", ""[33,0,0,0,0,0,0,0,0,0]"", ""10"", ""100"", ""60"", ""30"", ""42"", ""1""]"
